community_name,area,unit_price,room,size,subway,bus,kindergarten,primary-school,hospital,supermarket,park
雅荷城市花园,未央,12149,2室1厅,86.43平米,614米,454米,666米,440米,756米,478米,1089米
崇立金世园,雁塔,12150,3室2厅,82.31平米,611米,725米,457米,315米,720米,819米,1332米
太白花园,雁塔,12153,3室2厅,120.14平米,512米,153米,981米,652米,409米,1232米,525米
彩云郡,新城区,12154,2室1厅,87.96平米,487米,423米,552米,921米,1445米,1384米,336米
西航西苑小区,未央,12156,3室2厅,102.83平米,868米,329米,622米,650米,701米,289米,670米
富力白鹭湾南区,灞桥,12158,3室2厅,124.2平米,1949米,354米,217米,664米,,110米,847米
长安易居,未央,12160,2室2厅,84.71平米,1080米,442米,213米,343米,725米,224米,1800米
金茂紫庭,新城区,12161,3室2厅,102.79平米,740米,217米,705米,1452米,1134米,802米,
统计局家属院（乐居场）,碑林,12168,2室1厅,65.75平米,550米,600米,260米,187米,1096米,,1043米
枫丹白露苑,长安,12168,1室1厅,61.64平米,1175米,646米,527米,477米,1420米,,1260米
雅苑东方,新城区,12169,2室2厅,92.04平米,996米,252米,325米,622米,407米,85米,170米
捷瑞新时代,雁塔,12170,1室1厅,76.01平米,940米,383米,698米,711米,410米,566米,1941米
彩云郡,新城区,12172,2室2厅,93.25平米,487米,423米,552米,921米,1445米,1384米,336米
臻园,莲湖,12174,1室1厅,23平米,605米,350米,761米,338米,740米,945米,
华府御城,莲湖,12177,3室2厅,115.8平米,975米,470米,822米,982米,1059米,256米,875米
城东小筑,碑林,12177,2室2厅,90.34平米,722米,624米,136米,320米,318米,530米,537米
唐園新苑,雁塔,12177,4室2厅,167.53平米,404米,499米,354米,233米,547米,129米,1060米
天沣园,长安,12187,2室2厅,57.44平米,1153米,244米,108米,95米,223米,583米,1888米
龙苑,新城区,12189,1室1厅,57.43平米,385米,170米,974米,1280米,1259米,1815米,626米
恒顺花园,长安,12193,1室1厅,49.21平米,685米,215米,646米,650米,153米,325米,315米
珠江新城北区,未央,12194,2室2厅,92.67平米,491米,283米,491米,697米,570米,999米,1301米
含光静里,新城区,12198,2室2厅,91.82平米,937米,987米,78米,589米,726米,177米,352米
山水家园小区,灞桥,12200,3室1厅,126.64平米,587米,289米,568米,790米,191米,723米,1761米
海璟台北湾南区,未央,12205,1室1厅,49.98平米,716米,1165米,423米,545米,876米,106米,1221米
西安锦都,雁塔,12208,5室3厅,237.56平米,602米,420米,214米,459米,798米,557米,560米
高科绿水东城一期,灞桥,12209,3室1厅,126.96平米,,401米,768米,408米,1653米,916米,1174米
苏格兰风笛,雁塔,12221,2室1厅,89.6平米,1157米,549米,570米,429米,349米,936米,1256米
超英长乐家园,碑林,12224,2室2厅,85.9平米,810米,571米,744米,161米,438米,660米,19米
东方罗马花园,灞桥,12229,1室1厅,43.75平米,294米,208米,300米,626米,645米,425米,
圣合家园,长安,12231,2室1厅,64.59平米,903米,259米,435米,274米,1028米,644米,767米
佳馨花园,未央,12234,3室2厅,126.7平米,538米,886米,754米,404米,801米,1228米,1275米
荣德棕榈湾,灞桥,12242,2室1厅,89.04平米,284米,484米,328米,527米,216米,300米,1453米
友泰小区,未央,12243,2室1厅,66.98平米,767米,396米,155米,282米,319米,211米,290米
蔚蓝花城,莲湖,12244,3室2厅,127.41平米,438米,266米,454米,696米,560米,237米,1500米
香榭丽都小区,未央,12248,3室2厅,113.49平米,601米,462米,777米,1187米,951米,418米,971米
御笔华庭,莲湖,12252,2室1厅,77.54平米,458米,167米,226米,849米,259米,,1331米
明府佳苑,新城区,12253,2室1厅,85.29平米,790米,564米,610米,985米,1280米,1456米,121米
阳光新地,未央,12258,2室1厅,87.7平米,1091米,495米,511米,371米,1123米,168米,1976米
新东尚,新城区,12265,3室2厅,121.49平米,347米,309米,375米,1175米,716米,1242米,1653米
御笔华府,雁塔,12269,1室1厅,29.75平米,876米,785米,199米,679米,229米,734米,186米
海璟时代,未央,12277,3室1厅,105.89平米,886米,192米,984米,356米,756米,130米,1068米
吉祥小区(雁塔),雁塔,12289,2室1厅,88.7平米,640米,546米,483米,523米,385米,540米,384米
海荣雅庭花园,未央,12292,1室1厅,61.02平米,878米,397米,709米,711米,434米,663米,1413米
白庙小区,碑林,12298,3室1厅,69.12平米,625米,1323米,192米,858米,687米,423米,1612米
西仪一零一小区,莲湖,12299,2室1厅,70.74平米,314米,252米,457米,80米,216米,1154米,643米
利君未来城,未央,12303,2室1厅,74.78平米,1380米,513米,209米,1043米,524米,540米,1429米
春天花园,长安,12306,2室2厅,98.33平米,558米,452米,308米,723米,491米,550米,1454米
金钼集团花园小区东区北院,长安,12308,2室2厅,84.5平米,657米,591米,366米,737米,567米,761米,480米
银池丽舍云端,未央,12310,2室2厅,96.67平米,619米,544米,37米,288米,762米,597米,585米
华宇时间城,未央,12314,2室2厅,83.65平米,1717米,306米,766米,551米,1864米,895米,
唐韵三坊,新城区,12317,2室1厅,60.08平米,932米,980米,76米,500米,694米,1046米,302米
肿瘤医院家属楼,雁塔,12325,2室1厅,68.97平米,305米,357米,441米,536米,174米,1170米,1470米
广丰花园,未央,12331,2室1厅,72.18平米,526米,18米,222米,142米,299米,178米,372米
桐树湾,未央,12332,2室1厅,89.04平米,628米,175米,452米,1018米,424米,1227米,1007米
三五一一社区,雁塔,12334,2室2厅,89.19平米,952米,785米,566米,1062米,829米,235米,1682米
